distance,price,user_rating,accepted
25.140263,2392.4805,4.209556,1
36.809875,1186.0194,3.3787231,0
71.55025,1980.2065,3.6560798,0
11.233557,450.35983,2.8814244,0
45.443523,3591.5388,3.460182,1
10.841179,2103.6233,0.88001907,1
67.68303,1392.8003,3.185283,0
44.24168,3415.554,4.442372,1
23.79347,1304.0289,0.23573577,1
51.74109,1702.2577,0.6004721,0
15.749704,1004.2028,1.3846296,1
79.11384,1558.414,3.7838836,0
49.397053,2859.1533,1.3990402,1
54.74008,2295.7874,0.8862972,0
29.839384,1251.9674,1.9599438,0
6.159568,3234.207,0.23847282,1
61.417294,1446.1255,0.9230375,0
56.049477,446.47168,0.6643671,0
28.59037,1663.2352,3.332512,1
55.77154,2107.1592,2.5467343,0
12.04406,2337.7856,2.723608,1
36.802326,1627.912,4.4861817,0
55.005707,1225.6217,4.212411,0
97.70802,794.3683,2.1392512,0
52.56653,3352.8992,1.2292296,1
42.52648,2366.024,1.8015862,1
65.84253,102.07892,2.801488,0
37.97841,3841.5046,3.329171,1
48.93712,443.1944,0.2864325,0
79.87516,1898.5844,0.72445273,0
33.82169,2816.4258,3.6934102,1
34.419823,3748.5981,0.39533734,1
52.52553,1228.1031,0.19036174,0
73.54516,1712.3718,4.3372574,0
27.429367,3446.167,3.983152,1
97.95092,3495.2358,2.41037,0
64.07053,985.90326,1.3984138,0
26.453459,3901.3691,1.901995,1
46.753345,3562.1057,4.1083536,1
82.63024,492.8689,4.0062313,0
47.13777,473.13403,2.5444002,0
97.43152,695.4298,2.4719644,0
23.102808,2682.284,1.3915348,1
97.79246,3182.329,0.15803695,0
19.944263,1379.653,2.765469,1
0.22387505,1655.6249,0.06979585,1
23.729956,3610.7102,0.12867093,1
95.74341,1525.0507,3.1034331,0
1.3286829,2559.5618,1.7900699,1
67.16171,3164.034,4.790908,0
41.066788,363.07764,0.35180748,0
82.13179,230.56078,1.0835159,0
57.373833,2465.3582,3.9373999,0
80.06481,3667.3704,0.23513615,0
64.85254,2971.972,3.3847344,0
17.387331,2490.0918,4.955328,1
38.479828,3046.5127,4.9306273,1
68.90148,3957.7065,2.7966828,1
89.64954,2243.4548,2.7478952,0
51.225758,271.77478,3.5667014,0
1.0525703,1807.5791,1.3151473,1
89.91269,258.81482,4.7304254,0
66.89725,3495.5688,0.6491196,1
41.878094,3124.4307,4.0555997,1
82.63905,2487.995,4.6402082,0
80.14064,33.44059,4.8925323,0
94.38672,1661.8772,3.3915668,0
25.03748,2529.2888,3.2369292,1
69.860695,3353.285,3.4006536,0
82.02445,64.41354,0.117503405,0
85.53986,2060.3167,4.137336,0
10.115504,995.224,4.7248735,1
59.830738,2500.136,4.9796433,0
77.99667,2065.6204,0.53988516,0
67.24826,1945.1351,0.6661284,0
57.622635,2820.352,1.4880115,0
75.450645,3076.6978,2.7519786,0
4.8652887,2603.1694,0.080311894,1
10.360777,2062.551,2.5938897,1
68.5063,3657.5762,3.4376912,1
15.31558,2466.1484,1.7248541,1
84.41689,717.92267,0.95210135,0
1.0383725,600.1506,0.8447319,1
34.736145,247.49469,0.8465868,0
2.8226137,1979.1837,0.49510598,1
84.39256,1445.8351,3.728623,0
40.473663,2162.4622,0.120239854,1
92.13403,1951.3722,2.5877018,0
84.381935,1334.1885,2.90134,0
62.1384,1527.5096,4.8930974,0
4.185915,559.2689,3.3031793,1
70.84611,1142.7474,2.5784092,0
9.629154,1276.5427,2.8299677,1
72.10746,2740.0823,3.5747433,0
65.322556,1328.9747,2.2862673,0
20.16734,661.46423,4.410586,0
33.68472,1345.6764,4.9219656,0
69.26887,1964.5667,1.7139715,0
94.661095,1263.6213,1.7757362,0
71.03894,955.97266,4.1624136,0
75.351295,1109.9138,4.658279,0
32.371365,3721.6172,2.3701649,1
86.663864,313.6239,2.1883469,0
42.52702,1490.4418,4.883518,0
89.916565,3862.3047,4.5323477,0
8.493721,282.93277,4.0640693,0
25.063478,48.739433,3.5826845,0
23.473417,3981.8215,2.8449047,1
29.233288,1541.3881,0.51979244,1
16.953278,626.8063,2.6486015,0
76.95147,594.7213,1.0215187,0
53.28032,2640.3708,1.0709995,0
0.01322031,2165.0361,0.08549094,1
86.67972,3928.6174,1.5690291,0
90.95719,3802.4907,3.4071593,0
0.6435871,2976.1807,3.477151,1
94.777176,3299.687,2.4140005,0
81.55958,1468.6765,1.2271976,0
39.75147,475.21542,2.1573882,0
4.94982,1650.238,1.8094385,1
65.89929,1020.0162,4.0995936,0
27.819527,777.3075,1.5347004,0
55.508305,639.9746,3.6743212,0
8.935571,2860.57,4.5469265,1
62.393425,2472.2756,0.59521854,0
48.089672,575.40796,3.217502,0
85.89296,1648.5529,1.124199,0
18.449545,21.864891,4.8277903,0
90.28945,2996.8467,1.3555914,0
65.245285,1256.2275,2.970425,0
52.2699,2324.6575,2.1952968,0
83.829056,1437.571,1.9524437,0
63.39853,2464.2349,4.9407296,0
53.063786,1411.3845,0.44376314,0
30.140781,2890.8315,0.28480947,1
22.164356,2545.962,3.0853736,1
61.872734,3663.2395,3.8415504,1
32.93202,2247.6982,0.5573213,1
81.52131,3415.883,3.9765966,0
23.178911,981.2288,0.15728831,0
88.25734,2689.1504,2.4530344,0
53.776897,403.1162,0.99013925,0
10.325659,1025.7483,1.5136099,1
9.056271,3436.3652,1.2277961,1
92.18818,3558.375,1.1013669,0
25.556934,2881.267,2.062068,1
13.120723,558.6538,1.1346984,0
31.345833,3854.3445,3.9247088,1
20.163227,3505.8245,2.7915568,1
8.109749,2912.6448,1.8872952,1
91.56583,1827.9781,3.1049228,0
25.968636,3694.1824,2.082272,1
78.87107,3876.9802,3.3477812,0
76.28559,1287.775,1.9909376,0
36.350727,1584.2886,4.5397954,0
40.858543,1117.9185,2.4187417,0
52.757835,507.29514,0.85543513,0
26.117361,2548.7595,3.1865776,1
20.507992,993.9613,3.3263493,0
73.300804,272.87054,0.3307277,0
8.0407505,2002.2635,0.76379955,1
5.4926515,3221.8274,2.799962,1
30.65741,1826.9196,3.5418558,1
53.636158,3593.1917,3.091013,1
62.111164,929.71704,3.67178,0
57.177246,1819.87,4.143793,0
98.730835,1190.5203,4.922313,0
91.95806,632.8425,3.5526867,0
8.068359,2159.153,2.2774796,1
2.3194313,784.71326,1.5705657,1
26.233028,3184.268,4.4071007,1
49.708794,736.11975,3.6248386,0
7.6761127,2637.2031,0.44960797,1
14.084148,310.24838,4.959907,0
16.16255,2665.4863,4.2729855,1
74.29315,3774.295,2.7310581,1
65.89079,2506.948,1.0361338,0
29.433537,1643.8999,2.3669858,1
53.111626,1997.5901,0.40528417,0
14.173853,814.7693,2.5781476,1
50.72428,1039.8422,2.9939973,0
6.570399,1302.5388,4.9745035,1
96.36834,346.03693,2.2337341,0
94.74235,3122.7656,2.63912,0
66.3627,154.30927,4.1849895,0
28.392387,201.57195,4.112385,0
84.55106,2529.0417,4.019475,0
95.07929,3057.7373,3.1676853,0
43.747486,1457.3289,0.20743668,0
39.99046,1175.076,4.4933724,0
34.413563,1723.0825,3.484078,1
96.29033,835.45544,1.0359633,0
14.573002,2266.9482,2.423994,1
68.301476,3706.757,2.713153,1
94.40274,767.1061,1.8895638,0
60.99578,532.78973,1.4387882,0
1.8432736,684.90027,1.9857198,1
57.77464,1869.8153,1.7109418,0
10.416996,2917.0146,0.15790403,1
84.8299,1577.2963,1.9356024,0
53.126083,3762.5847,4.324613,1
30.189335,2582.8777,0.57880044,1
77.06431,792.9335,0.16424298,0
67.10962,1009.0976,1.8592739,0
1.895392,3212.864,0.9759146,1
97.14695,3339.1694,0.62268794,0
36.53382,3849.4893,0.6369066,1
89.86678,3856.9502,2.6836658,0
31.749296,952.25287,2.4001985,0
86.84008,825.171,3.9454312,0
14.342653,666.6017,0.952574,0
62.29532,146.41142,3.7439501,0
17.819225,775.6014,0.65838516,0
86.06065,1922.3418,4.680677,0
90.8492,1888.8535,3.7621932,0
62.74401,986.0325,0.0036084652,0
26.913155,161.15714,4.064459,0
63.008163,479.1074,1.5629077,0
22.208809,690.3958,1.9145024,0
99.02429,935.5049,0.35256445,0
29.756212,1867.7659,0.09963155,1
27.85194,2083.9949,1.9996345,1
1.679647,685.54736,3.496163,1
19.297325,3801.0515,4.059551,1
2.4547696,749.4378,3.4711218,1
53.1888,3115.3684,3.3534193,1
92.99265,256.46542,1.3632488,0
